Cruciani_1,Cruciani_2,Cruciani_3,Instability_Index,Boman_Index,Hydrophobicity_Eisenberg,Hydrophobic_Moment,Aliphatic_Index,Isoelectric_Point_Lehninger,Charge_pH7.4_Lehninger,Freq_Tiny,Freq_Small,Freq_Aliphatic,Freq_Aromatic,Freq_Non_polar,Freq_Polar,Freq_Charged,Freq_Basic,Freq_Acidic
-0.440000,-0.112500,-0.427500,7.500000,-1.987500,0.610000,0.533803,292.500000,3.294999,-1.004386,0.000000,0.000000,0.750000,0.000000,0.750000,0.250000,0.250000,0.000000,0.250000
-0.440000,-0.112500,-0.427500,7.500000,-1.987500,0.610000,0.352534,292.500000,3.294999,-1.004386,0.000000,0.000000,0.750000,0.000000,0.750000,0.250000,0.250000,0.000000,0.250000
0.430000,0.815000,0.260000,293.900000,6.295000,-0.860000,0.242000,0.000000,12.481402,1.994890,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000
-0.588000,-0.762000,0.374000,95.880000,-0.488000,0.366000,0.284292,40.000000,5.253376,-0.147430,1.000000,1.000000,0.400000,0.000000,0.800000,0.200000,0.000000,0.000000,0.000000
-0.652000,0.232000,-0.354000,79.280000,-1.658000,0.686000,0.475430,0.000000,6.015000,-0.005094,0.000000,0.400000,0.000000,0.600000,1.000000,0.000000,0.000000,0.000000,0.000000
-0.646000,0.142000,-0.254000,126.640000,-1.532000,0.576000,0.392650,0.000000,6.015000,-0.005094,0.000000,0.400000,0.000000,0.400000,1.000000,0.000000,0.000000,0.000000,0.000000
-0.562000,-0.086000,-0.100000,-12.840000,-0.942000,0.526000,0.489619,58.000000,7.845049,0.033193,0.000000,0.400000,0.200000,0.400000,0.800000,0.200000,0.200000,0.200000,0.000000
-0.652000,-0.560000,0.190000,-25.960000,-1.314000,0.554000,0.071427,78.000000,6.015000,-0.005094,0.600000,0.800000,0.400000,0.000000,0.800000,0.200000,0.000000,0.000000,0.000000
-0.216000,0.432000,-0.084000,15.700000,-1.790000,0.448000,0.510094,156.000000,10.110000,0.994166,0.000000,0.000000,0.400000,0.400000,0.800000,0.200000,0.200000,0.200000,0.000000
-0.360000,-0.460000,0.124000,36.620000,0.078000,0.280000,0.197244,0.000000,6.015000,-0.005094,0.600000,0.600000,0.000000,0.200000,0.800000,0.200000,0.000000,0.000000,0.000000
-0.568000,-0.294000,0.322000,32.680000,0.640000,0.238000,0.263452,156.000000,11.085000,0.994898,0.400000,0.400000,0.400000,0.000000,0.800000,0.200000,0.200000,0.200000,0.000000
0.084000,0.446000,0.164000,15.700000,0.304000,-0.064000,0.775482,78.000000,10.621395,1.993425,0.000000,0.000000,0.200000,0.400000,0.600000,0.400000,0.400000,0.400000,0.000000
-0.344000,-0.150000,-0.032000,8.000000,-0.942000,0.640000,0.248913,136.000000,7.845049,0.033193,0.200000,0.400000,0.400000,0.400000,0.600000,0.400000,0.200000,0.200000,0.000000
-0.294000,0.028000,-0.436000,79.280000,0.300000,0.300000,0.283563,0.000000,3.294999,-1.004386,0.000000,0.400000,0.000000,0.400000,0.800000,0.200000,0.200000,0.000000,0.200000
-0.662000,0.142000,-0.286000,103.960000,-2.046000,0.660000,0.454824,78.000000,6.015000,-0.005094,0.000000,0.400000,0.200000,0.400000,1.000000,0.000000,0.000000,0.000000,0.000000
-0.392000,-0.560000,0.246000,46.520000,-0.280000,0.396000,0.158650,78.000000,6.015000,-0.005094,0.600000,0.800000,0.400000,0.000000,0.600000,0.400000,0.000000,0.000000,0.000000
0.273333,0.788333,0.018333,103.800000,1.858333,-0.131667,0.788925,0.000000,11.539912,1.994157,0.000000,0.000000,0.000000,0.666667,0.666667,0.333333,0.333333,0.333333,0.000000
0.211667,0.551667,0.245000,8.333333,3.063333,-0.453333,0.068986,0.000000,11.689594,2.993416,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000
0.430000,0.815000,0.260000,294.733333,6.295000,-0.860000,0.408510,0.000000,12.781557,2.994881,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000
0.240000,0.665000,-0.086667,78.750000,1.361667,0.110000,0.726471,0.000000,11.085000,0.994898,0.166667,0.166667,0.000000,0.666667,0.666667,0.333333,0.166667,0.166667,0.000000
-0.176667,0.160000,0.190000,23.066667,2.203333,-0.320000,0.712830,65.000000,11.539912,1.994157,0.000000,0.333333,0.166667,0.166667,0.666667,0.333333,0.333333,0.333333,0.000000
0.051667,-0.101667,-0.525000,-10.616667,1.456667,0.170000,0.495505,48.333333,2.810538,-2.004738,0.000000,0.666667,0.166667,0.333333,0.666667,0.333333,0.333333,0.000000,0.333333
0.178333,0.428333,0.140000,-16.716667,2.566667,-0.211667,0.293326,0.000000,11.539912,1.994157,0.166667,0.166667,0.000000,0.500000,0.500000,0.500000,0.333333,0.333333,0.000000
0.421667,0.041667,-0.088333,-9.033333,5.293333,-0.763333,0.722848,0.000000,7.092401,-0.004428,0.000000,0.166667,0.000000,0.166667,0.333333,0.666667,0.666667,0.333333,0.333333
0.278333,0.728333,0.241667,199.266667,6.186667,-0.796667,1.140348,0.000000,12.781557,2.994881,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000
-0.773333,-0.030000,-0.160000,-30.866667,-3.823333,1.001667,0.094768,260.000000,6.015000,-0.005094,0.166667,0.333333,0.833333,0.166667,1.000000,0.000000,0.000000,0.000000,0.000000
0.361667,0.535000,0.331667,83.616667,7.010000,-0.980000,1.040787,0.000000,11.226700,2.990615,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000
-0.038333,0.540000,0.038333,28.900000,1.318333,-0.026667,0.434776,65.000000,11.539912,1.994157,0.000000,0.000000,0.166667,0.500000,0.666667,0.333333,0.333333,0.333333,0.000000
0.106667,0.613333,0.066667,103.800000,1.426667,-0.036667,0.474477,65.000000,11.539912,1.994157,0.000000,0.000000,0.166667,0.500000,0.666667,0.333333,0.333333,0.333333,0.000000
0.223333,0.516667,0.140000,30.516667,2.915000,-0.270000,0.490354,0.000000,11.539919,2.032444,0.000000,0.000000,0.000000,0.666667,0.500000,0.500000,0.500000,0.500000,0.000000
0.178333,0.463333,0.246667,8.333333,1.501667,-0.281667,0.753101,0.000000,10.871898,2.992684,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000
-0.726667,0.105000,-0.253333,79.900000,-2.770000,0.870000,0.311834,113.333333,6.015000,-0.005094,0.000000,0.333333,0.333333,0.333333,1.000000,0.000000,0.000000,0.000000,0.000000
-0.408333,-0.681667,0.360000,87.983333,0.728333,0.186667,0.059387,16.666667,7.845049,0.033193,0.666667,0.833333,0.166667,0.166667,0.666667,0.333333,0.166667,0.166667,0.000000
0.346667,-0.488333,0.143333,69.000000,3.316667,-0.285000,0.288412,16.666667,7.845049,0.033193,0.500000,0.500000,0.166667,0.166667,0.166667,0.833333,0.166667,0.166667,0.000000
