Cruciani_1,Cruciani_2,Cruciani_3,Instability_Index,Boman_Index,Hydrophobicity_Eisenberg,Hydrophobic_Moment,Aliphatic_Index,Isoelectric_Point_Lehninger,Charge_pH7.4_Lehninger,Freq_Tiny,Freq_Small,Freq_Aliphatic,Freq_Aromatic,Freq_Non_polar,Freq_Polar,Freq_Charged,Freq_Basic,Freq_Acidic,anomaly_score,anomaly
1.0,-0.89,-1.0,8.571429,8.72,-0.9,0.029145,0.0,2.464581,-7.003849,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.22408271219023113,-1
0.731429,-0.905714,-0.787143,8.571429,7.34,-0.702857,0.213214,0.0,2.508644,-6.004027,0.142857,1.0,0.0,0.0,0.142857,0.857143,0.857143,0.0,0.857143,-0.20092344307564625,-1
0.759,-0.345,-0.417,97.64,7.878,-1.038,0.043312,0.0,3.736774,-4.144262,0.1,0.3,0.0,0.0,0.1,0.9,0.8,0.2,0.6,-0.19252304530482,-1
0.7075,0.67625,0.8075,438.35,12.76375,-2.1125,0.162823,0.0,13.258288,6.994848,0.0,0.0,0.0,0.125,0.125,0.875,0.875,0.875,0.0,-0.18898073584349195,-1
0.451429,-0.887143,-0.6,-15.685714,5.835714,-0.485714,0.256613,14.285714,2.5601,-5.004205,0.285714,1.0,0.142857,0.0,0.285714,0.714286,0.714286,0.0,0.714286,-0.18508127787847373,-1
0.663333,-0.62,-0.87,40.433333,5.81,-0.52,0.406848,65.0,2.655895,-5.003145,0.0,0.5,0.166667,0.0,0.166667,0.833333,0.833333,0.0,0.833333,-0.17306821322426558,-1
0.572,0.492,0.702,156.16,7.722,-1.45,0.433514,0.0,12.965931,7.99191,0.0,0.0,0.0,0.2,0.2,0.8,0.8,0.8,0.0,-0.15579065294564132,-1
0.40871,0.177097,0.743226,305.690323,9.814839,-1.545161,0.584664,19.032258,13.758793,19.99474,0.258065,0.322581,0.096774,0.0,0.193548,0.806452,0.645161,0.645161,0.0,-0.15319190021086593,-1
-0.448571,0.451429,-0.387143,59.485714,-1.85,0.721429,0.213309,0.0,6.015,-0.005094,0.0,0.285714,0.0,0.714286,1.0,0.0,0.0,0.0,0.0,-0.1529293413881876,-1
0.504,0.778,0.406,352.68,8.02,-1.194,1.113015,0.0,13.179139,5.994856,0.0,0.0,0.0,0.4,0.4,0.6,0.6,0.6,0.0,-0.14988672009411186,-1
0.599333,-0.120667,-0.165333,165.36,7.493333,-1.068667,0.5306,0.0,4.771104,-1.004253,0.0,0.2,0.0,0.066667,0.2,0.8,0.6,0.266667,0.333333,-0.14566603347137475,-1
0.494,0.018,0.859,96.31,8.219,-1.45,0.40763,0.0,12.963829,6.992651,0.3,0.3,0.0,0.0,0.1,0.9,0.7,0.7,0.0,-0.14453464021496676,-1
0.518,0.582,0.555,213.44,6.934,-1.219,0.657548,0.0,12.963829,6.992651,0.0,0.0,0.0,0.3,0.3,0.7,0.7,0.7,0.0,-0.14345875232846306,-1
-0.652,0.232,-0.354,79.28,-1.658,0.686,0.47543,0.0,6.015,-0.005094,0.0,0.4,0.0,0.6,1.0,0.0,0.0,0.0,0.0,-0.13760441371852195,-1
0.565833,-0.09625,0.283333,52.866667,6.074167,-0.807083,0.350445,0.0,10.466911,3.299109,0.125,0.166667,0.0,0.416667,0.125,0.875,0.791667,0.625,0.166667,-0.13660874511551535,-1
0.43,0.815,0.26,295.4,6.295,-0.86,0.181924,0.0,13.08228,4.994865,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-0.13648330804344655,-1
0.482222,0.008889,0.843333,105.9,8.515556,-1.444444,0.514513,0.0,12.961713,5.993391,0.333333,0.333333,0.0,0.0,0.111111,0.888889,0.666667,0.666667,0.0,-0.1353167349624348,-1
0.43,0.815,0.26,295.15,6.295,-0.86,0.227405,0.0,12.957434,3.994873,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-0.13002472106949703,-1
0.43,0.815,0.26,293.9,6.295,-0.86,0.242,0.0,12.481402,1.99489,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-0.12999794197669257,-1
0.57,0.020741,-0.107407,142.22963,7.432222,-1.027407,0.542368,43.333333,7.426457,0.000669,0.0,0.074074,0.111111,0.074074,0.185185,0.814815,0.666667,0.333333,0.333333,-0.12737303806414346,-1
0.482857,-0.142857,0.792857,85.407143,6.936429,-1.172143,0.514794,0.0,12.965931,7.99191,0.428571,0.428571,0.0,0.0,0.071429,0.928571,0.571429,0.571429,0.0,-0.12623519603967692,-1
-0.646,0.142,-0.254,126.64,-1.532,0.576,0.39265,0.0,6.015,-0.005094,0.0,0.4,0.0,0.4,1.0,0.0,0.0,0.0,0.0,-0.12599586393102657,-1
